ACCURACY,TPR_0,FPR_0,TNR_0,FNR_0,Precision_0,Recall_0,F-measure_0,MCC_0,Kappa_0,TPR_1,FPR_1,TNR_1,FNR_1,Precision_1,Recall_1,F-measure_1,MCC_1,Kappa_1,TPR_W,FPR_W,TNR_W,FNR_W,Precision_W,Recall_W,F-measure_W,MCC_W,Kappa_W,ROC_0,ROC_1,ROC_W,combination_key,description,datetime
0.7006172839506173,0.6989247311827957,0.27586206896551724,0.7241379310344828,0.3010752688172043,0.9723820483314154,0.6989247311827957,0.8132820019249278,0.2252442166912315,0.1503735769102097,0.7241379310344828,0.3010752688172043,0.6989247311827957,0.27586206896551724,0.14754098360655737,0.7241379310344828,0.24513618677042798,0.2252442166912315,0.1503735769102097,0.7006172839506174,0.2775546217333388,0.7224453782666611,0.29938271604938277,0.9170107731531263,0.7006172839506174,0.7751425837779823,0.2252442166912315,0.1503735769102097,0.8012796744721085,0.8012796744721085,0.8012796744721085,m1s1b1,Logistic Regression Model 1 - s1b1,2025-04-19 07:26:29
0.7037037037037037,0.6997518610421837,0.2413793103448276,0.7586206896551724,0.3002481389578164,0.9757785467128027,0.6997518610421837,0.8150289017341041,0.2437548043189917,0.16230874109983318,0.7586206896551724,0.3002481389578164,0.6997518610421837,0.2413793103448276,0.15384615384615385,0.7586206896551724,0.2558139534883721,0.24375480431899169,0.16230874109983318,0.7037037037037037,0.24533115300634767,0.7546688469936523,0.29629629629629634,0.9206025295990694,0.7037037037037037,0.7774890093750156,0.2437548043189917,0.16230874109983318,0.8107774069954257,0.8107774069954257,0.8107774069954257,m1s1b2,Logistic Regression Model 1 - s1b2,2025-04-19 07:26:33
0.7330246913580247,0.7303556658395368,0.22988505747126436,0.7701149425287356,0.2696443341604632,0.9778516057585825,0.7303556658395368,0.8361742424242425,0.2724653021628757,0.1901433633496959,0.7701149425287356,0.2696443341604632,0.7303556658395368,0.22988505747126436,0.17048346055979643,0.7701149425287356,0.2791666666666666,0.2724653021628756,0.1901433633496959,0.7330246913580246,0.23255408298975225,0.7674459170102477,0.26697530864197533,0.9236532811966269,0.7330246913580246,0.7987825301627386,0.2724653021628757,0.1901433633496959,0.8235979198159357,0.8235979198159357,0.8235979198159357,m1s2b1,Logistic Regression Model 1 - s2b1,2025-04-19 07:26:34
0.7399691358024691,0.7328370554177006,0.16091954022988506,0.8390804597701149,0.26716294458229944,0.9844444444444445,0.7328370554177006,0.8402086296823139,0.31069719057337136,0.21597518417991465,0.8390804597701149,0.26716294458229944,0.7328370554177006,0.16091954022988506,0.18434343434343434,0.8390804597701149,0.30227743271221535,0.31069719057337136,0.21597518417991465,0.7399691358024691,0.16805162061465362,0.8319483793853464,0.2600308641975309,0.930733959970071,0.7399691358024691,0.8040975076634879,0.31069719057337136,0.21597518417991465,0.8195098067178113,0.8195098067178113,0.8195098067178113,m1s2b2,Logistic Regression Model 1 - s2b2,2025-04-19 07:26:37
0.7330246913580247,0.7303556658395368,0.22988505747126436,0.7701149425287356,0.2696443341604632,0.9778516057585825,0.7303556658395368,0.8361742424242425,0.2724653021628757,0.1901433633496959,0.7701149425287356,0.2696443341604632,0.7303556658395368,0.22988505747126436,0.17048346055979643,0.7701149425287356,0.2791666666666666,0.2724653021628756,0.1901433633496959,0.7330246913580246,0.23255408298975225,0.7674459170102477,0.26697530864197533,0.9236532811966269,0.7330246913580246,0.7987825301627386,0.2724653021628757,0.1901433633496959,0.8235979198159357,0.8235979198159357,0.8235979198159357,m1s3b1,Logistic Regression Model 1 - s3b1,2025-04-19 07:26:38
0.7399691358024691,0.7328370554177006,0.16091954022988506,0.8390804597701149,0.26716294458229944,0.9844444444444445,0.7328370554177006,0.8402086296823139,0.31069719057337136,0.21597518417991465,0.8390804597701149,0.26716294458229944,0.7328370554177006,0.16091954022988506,0.18434343434343434,0.8390804597701149,0.30227743271221535,0.31069719057337136,0.21597518417991465,0.7399691358024691,0.16805162061465362,0.8319483793853464,0.2600308641975309,0.930733959970071,0.7399691358024691,0.8040975076634879,0.31069719057337136,0.21597518417991465,0.8195098067178113,0.8195098067178113,0.8195098067178113,m1s3b2,Logistic Regression Model 1 - s3b2,2025-04-19 07:26:40
0.7569444444444444,0.7634408602150538,0.3333333333333333,0.6666666666666666,0.23655913978494625,0.9695378151260504,0.7634408602150538,0.8542341508560852,0.24375420926177846,0.1814244465832532,0.6666666666666666,0.23655913978494625,0.7634408602150538,0.3333333333333333,0.1686046511627907,0.6666666666666666,0.2691415313225058,0.24375420926177846,0.1814244465832532,0.7569444444444444,0.32683691756272404,0.673163082437276,0.24305555555555558,0.9157714684711094,0.7569444444444444,0.8149571000077662,0.24375420926177846,0.1814244465832532,0.7843948166528827,0.7843948166528827,0.7843948166528827,m2s1b1,KNN Model - s1b1,2025-04-19 07:26:43
0.8287037037037037,0.8618693134822167,0.632183908045977,0.367816091954023,0.1381306865177833,0.9498632634457612,0.8618693134822167,0.9037294015611449,0.1594323050383794,0.14379073297027065,0.367816091954023,0.1381306865177833,0.8618693134822167,0.632183908045977,0.16080402010050251,0.367816091954023,0.22377622377622378,0.1594323050383794,0.14379073297027065,0.8287037037037037,0.599018298267464,0.400981701732536,0.17129629629629628,0.8968940086841583,0.8287037037037037,0.8580843965709535,0.1594323050383794,0.14379073297027065,0.7092400863257381,0.7092400863257381,0.7092400863257381,m2s1b2,KNN Model - s1b2,2025-04-19 07:27:28
0.7762345679012346,0.7816377171215881,0.2988505747126437,0.7011494252873564,0.21836228287841192,0.9732234809474768,0.7816377171215881,0.8669724770642202,0.2787258039110897,0.21273894956451792,0.7011494252873564,0.21836228287841192,0.7816377171215881,0.2988505747126437,0.18769230769230769,0.7011494252873564,0.2961165048543689,0.27872580391108975,0.21273894956451792,0.7762345679012347,0.29344742549229014,0.7065525745077098,0.22376543209876543,0.9204910642243289,0.7762345679012347,0.8286511270779107,0.2787258039110897,0.2127389495645179,0.8209881825009744,0.8209881825009744,0.8209881825009744,m2s2b1,KNN Model - s2b1,2025-04-19 07:27:31
0.8317901234567902,0.8552522746071133,0.4942528735632184,0.5057471264367817,0.1447477253928867,0.9600742804085423,0.8552522746071133,0.9046369203849519,0.24107343107095225,0.21185036404720076,0.5057471264367817,0.1447477253928867,0.8552522746071133,0.4942528735632184,0.2009132420091324,0.5057471264367817,0.28758169934640526,0.24107343107095228,0.21185036404720076,0.8317901234567902,0.47079072241289516,0.5292092775871048,0.16820987654320987,0.9091120810715448,0.8317901234567902,0.863214231935605,0.24107343107095225,0.21185036404720076,0.780648964186228,0.780648964186228,0.780648964186228,m2s2b2,KNN Model - s2b2,2025-04-19 07:28:19
